Selection,Odds,Opposition,Resulted,Time,Result
Iga Swiatek,1.2,Ajla Tomljanovic,True,00:10,Win
Harriet Dart,3.26,Alize Cornet,True,00:10,Loss
Nikolas Sanchez Izquierdo,3.66,Dusan Lajovic,True,00:50,Loss
Alessandro Giannessi,2.56,Alexandre Muller,True,01:25,Loss
Arthur Cazaux,2.91,Tomas Machac,True,03:00,Loss
Tomas Machac,1.38,Arthur Cazaux,True,03:00,Win
Elise Mertens,1.1,Despina Papamichail,True,03:10,Win
Ernesto Escobedo,2.06,Valentin Vacherot,True,04:10,Win
Mathias Bourgue,1.96,Jurgen Briand,True,04:45,Loss
Remy Bertola,2.55,Daniel Dutra da Silva,True,07:30,Win
Jason Jung,2.75,Maximilian Marterer,True,12:05,Loss
Dalibor Svrcina,2.21,Rinky Hijikata,True,12:05,Loss
Miomir Kecmanovic,2.02,Daniel Evans,True,14:00,Win
Li Tu,2.77,Zsombor Piros,True,15:00,Loss
Marin Cilic,2.02,Karen Khachanov,True,16:10,Loss
Brandon Nakashima,1.9,Borna Coric,True,19:00,Loss
Borna Coric,1.9,Brandon Nakashima,True,19:00,Win
Tamara Zidansek,3.42,Anastasia Potapova,True,20:05,Win
Jesper De Jong,2.0,Matteo Arnaldi,True,20:05,Loss
Maria Sakkari,1.27,Alycia Parks,True,20:10,Loss
Salvatore Caruso,2.9,Fernando Verdasco,True,21:45,Win
Jelle Sels,3.1,Jiri Lehecka,True,22:10,Win
Veronika Kudermetova,1.15,Magdalena Frech,False,22:20,Loss
Karolina Muchova,1.3,Caty McNally,True,23:10,Loss
Caty McNally,3.5,Karolina Muchova,True,23:10,Win
Facundo Juarez,2.7,Fa Rodriguez Taverna Santiago,True,23:35,Win
Timofey Skatov,2.22,Carlos Taberner,True,23:45,Win
