Selection,Odds,Opposition,Resulted,Time,Result
Belinda Bencic,2.16,Barbora Krejcikova,True,00:00,Loss
Petra Martic,1.17,Moyuka Uchijima,True,00:05,Loss
Vasek Pospisil,1.24,Jules Marie,True,00:10,Win
Hugo Gaston,1.19,Valentin Royer,True,02:40,Win
Jack Sock,1.99,Jeffrey John Wolf,True,04:30,Loss
Stefan Kozlov,2.06,Alexis Galarneau,True,05:45,Loss
Leandro Riedi,2.58,Denis Kudla,True,06:10,Loss
Paul Jubb,1.29,Alex Michelsen,True,09:55,Win
Maximilian Neuchrist,2.05,Marc Polmans,True,12:05,Loss
Hubert Hurkacz,2.09,Stefanos Tsitsipas,True,18:10,Loss
Dimitar Kuzmanov,1.9,Fabian Marozsan,True,19:10,Loss
Denis Shapovalov,2.24,Borna Coric,True,19:55,Win
Barbora Krejcikova,1.17,Alycia Parks,False,22:10,Win
Ferreira Silva Frederico,2.17,Matteo Arnaldi,False,23:10,Win
