Selection,Odds,Opposition,Resulted,Time,Result
Zdenek Kolar,1.94,Robin Haase,True,00:35,Loss
Jurgen Briand,1.93,Nick Hardt,True,00:50,Loss
Sumit Nagal,2.29,Alexandre Muller,True,01:45,Loss
Pablo Carreno Busta,1.16,Thiago Monteiro,True,02:00,Win
Kamilla Rakhimova,2.82,Jule Niemeier,True,02:20,Loss
Valentin Vacherot,2.01,Juncheng Shang,True,03:10,Loss
Renzo Olivo,2.06,Luciano Darderi,True,03:10,Loss
Jack Sock,1.17,David Ionel Nicholas,True,03:20,Loss
Hans Rehberg Max,3.9,Tomas Machac,True,03:30,Win
Marcos Giron,2.75,Dominic Thiem,True,04:10,Loss
Nerman Fatic,2.13,Alastair Gray,True,04:30,Loss
Christian Langmo,2.75,Sam Riffice,True,04:50,Loss
Denis Yevseyev,2.26,Bu Yunchaokete,True,05:55,Win
Cori Gauff,1.15,Robin Montgomery,True,06:10,Win
Danielle Rose Collins,1.12,Martina Trevisan,True,10:35,Win
Maximilian Neuchrist,1.99,Shintaro Mochizuki,True,12:10,Loss
Jessica Pegula,1.17,Coco Vandeweghe,True,12:30,Win
Manuel Guinard,2.76,Francisco Cerundolo,True,20:10,Loss
Roberto Marcora,3.65,Fernando Verdasco,True,20:15,Win
Ramkumar Ramanathan,3.83,Quentin Halys,True,20:35,Loss
Valentin Royer,2.24,Nick Hardt,True,20:40,Win
Nuria Parrizas Diaz,2.1,Dalma Galfi,True,20:40,Win
Andy Murray,1.21,Pedro Cachin,False,22:15,Win
