Selection,Odds,Opposition,Resulted,Time,Result
Alejandro Davidovich Fokina,2.11,Andy Murray,True,00:40,Loss
Marko Topo,2.3,Jonas Forejtek,True,01:50,Loss
Laurent Lokoli,3.89,Ugo Humbert,True,01:55,Loss
Jakub Paul,1.2,Joao Fonseca,True,03:55,Win
Sam Riffice,1.95,Stefan Kozlov,True,04:30,Win
Donna Vekic,2.45,Maria Sakkari,True,04:35,Win
Gabriel Decamps,2.06,Matthias Bachinger,True,05:15,Win
Rinky Hijikata,3.09,Christopher O'Connell,True,12:10,Loss
Cedrik Marcel Stebe,3.81,Yibing Wu,True,12:10,Loss
Valentin Royer,2.3,Geoffrey Blancaneaux,True,18:15,Win
Federico Gaio,2.21,Harold Mayot,True,18:20,Loss
Xin Yu Wang,2.53,Magda Linette,True,19:10,Win
Alexey Vatutin,2.29,Pedro Cachin,True,20:10,Loss
Jesper De Jong,2.7,Hugo Grenier,True,20:30,Loss
Elmar Ejupovic,2.09,Antoine Bellier,True,21:05,Win
Vitaliy Sachko,1.94,Daniel Masur,True,21:05,Win
Constant Lestienne,1.92,Arthur Rinderknech,True,21:25,Loss
Ferreira Silva Frederico,1.98,Salvatore Caruso,False,22:45,Loss
Dan Added,2.59,Fernando Verdasco,False,23:40,Win
Jeffrey John Wolf,2.3,Maxime Cressy,False,23:55,Win
